NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
060003204960,0600032,Tulita Elementary,06,1520 Prospect Ave.,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.820682,-118.376079,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204961,0600032,Washington Elementary,06,1100 Lilienthal Ln.,Redondo Beach,CA,90278,06,06037,Los Angeles County,21,33.86441,-118.364863,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003206330,0600032,Redondo Union High,06,One Sea Hawk Way,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.845443,-118.384503,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003212165,0600032,Redondo Beach Learning Academy,06,1000 Del Amo St.,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.84775,-118.380438,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060010310916,0600103,La Puente Valley ROP,06,341 La Seda Rd.,La Puente,CA,91744,06,06037,Los Angeles County,21,34.012665,-117.898546,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06057,06022,2019-2020
060010510918,0600105,East San Gabriel Valley ROP,06,1501 Del Norte Ave.,West Covina,CA,91790,06,06037,Los Angeles County,21,34.0768,-117.9376,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2019-2020
060010610919,0600106,Tri-Cities ROP,06,10800 Ben Avon St. Unit E,Whittier,CA,90606,06,06037,Los Angeles County,21,33.97173,-118.079463,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06057,06032,2019-2020
060010710920,0600107,Southern California ROC,06,2300 Crenshaw Blvd.,Torrance,CA,90501,06,06037,Los Angeles County,12,33.824834,-118.326504,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06066,06035,2019-2020
060010810921,0600108,Long Beach Unified School District ROP,06,3701B E. Willow St.,Long Beach,CA,90815,06,06037,Los Angeles County,11,33.8054,-118.1493,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0647,06070,06033,2019-2020
060010910922,0600109,Los Angeles Unified School District ROCP,06,333 S. Beaudry Ave.,Los Angeles,CA,90017,06,06037,Los Angeles County,11,34.0565,-118.2574,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0634,06053,06024,2019-2020
060011010923,0600110,Los Angeles County ROP,06,9300 Imperial Hwy. Clark Bldg.,Downey,CA,90242,06,06037,Los Angeles County,21,33.916402,-118.129286,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06058,06032,2019-2020
060011110924,0600111,Hart ROP,06,21515 Centre Point Pkwy.,Santa Clarita,CA,91350,06,06037,Los Angeles County,21,34.3996,-118.4926,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06038,06021,2019-2020
060011210925,0600112,Antelope Valley ROP,06,1156 E. Ave. S,Palmdale,CA,93550,06,06037,Los Angeles County,21,34.5574,-118.1067,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2019-2020
060011310926,0600113,Compton Unified ROP,06,700 N. Bullis Rd.,Compton,CA,90221,06,06037,Los Angeles County,21,33.9007,-118.2066,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0644,06064,06035,2019-2020
060011410927,0600114,San Antonio ROP,06,1425 E. Holt Ave. Ste. 101,Pomona,CA,91767,06,06037,Los Angeles County,21,34.0633,-117.7219,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0635,06052,06020,2019-2020
060012110996,0600121,North Orange County ROP,06,385 N. Muller St.,Anaheim,CA,92801,06,06059,Orange County,11,33.836606,-117.950815,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0646,06065,06029,2019-2020
060012210997,0600122,College and Career Advantage,06,33122 Valle Rd.,San Juan Capistrano,CA,92675,06,06059,Orange County,21,33.480054,-117.6699,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0649,06073,06036,2019-2020
060012310998,0600123,Coastline ROP,06,1001 Presidio Sq.,Costa Mesa,CA,92626,06,06059,Orange County,12,33.6711,-117.9009,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0648,06074,06037,2019-2020
060012410999,0600124,Central Orange County CTE Partnership (CTEp),06,2910 Red Hill Ave. Ste. 200,Costa Mesa,CA,92626,06,06059,Orange County,12,33.667992,-117.880056,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0648,06074,06037,2019-2020
060015310928,0600153,Century High,06,20 S. Marengo Ave.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.090661,-118.141227,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310929,0600153,Alhambra High,06,101 S. Second St.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.0929,-118.1288,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310930,0600153,Mark Keppel High,06,501 E. Hellman Ave.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.0705,-118.1156,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310931,0600153,San Gabriel High,06,801 Ramona St.,San Gabriel,CA,91776,06,06037,Los Angeles County,21,34.0933,-118.1087,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310932,0600153,Independence High (Alternative),06,20 S. Marengo Ave.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.090661,-118.141227,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310934,0600153,Brightwood Elementary,06,1701 Brightwood St.,Monterey Park,CA,91754,06,06037,Los Angeles County,21,34.0461,-118.1526,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310935,0600153,Emery Park Elementary,06,2821 W. Commonwealth Ave.,Alhambra,CA,91803,06,06037,Los Angeles County,21,34.0881,-118.1547,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310936,0600153,Fremont Elementary,06,2001 S. Elm St.,Alhambra,CA,91803,06,06037,Los Angeles County,21,34.0707,-118.1509,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310937,0600153,Garfield Elementary,06,110 W. McLean St.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.1011,-118.1329,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310938,0600153,Granada Elementary,06,100 S. Granada Ave.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.0984,-118.1167,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310939,0600153,Marguerita Elementary,06,1603 S. Marguerita Ave.,Alhambra,CA,91803,06,06037,Los Angeles County,21,34.0749,-118.1385,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310940,0600153,Martha Baldwin Elementary,06,900 S. Almansor St.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.085,-118.1159,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310941,0600153,Monterey Highlands Elementary,06,400 Casuda Canyon Dr.,Monterey Park,CA,91754,06,06037,Los Angeles County,21,34.0578,-118.1549,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310942,0600153,Park Elementary,06,301 N. Marengo Ave.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.0953,-118.1429,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310943,0600153,Ramona Elementary,06,509 W. Norwood Pl.,Alhambra,CA,91803,06,06037,Los Angeles County,21,34.0762,-118.1286,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310944,0600153,Repetto Elementary,06,650 S. Grandridge Ave.,Monterey Park,CA,91754,06,06037,Los Angeles County,21,34.0536,-118.1283,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310945,0600153,William Northrup Elementary,06,409 S. Atlantic Blvd.,Alhambra,CA,91801,06,06037,Los Angeles County,21,34.0863,-118.135,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060015310946,0600153,Ynez Elementary,06,120 S. Ynez Ave.,Monterey Park,CA,91754,06,06037,Los Angeles County,21,34.0614,-118.1286,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0627,06049,06022,2019-2020
060142806990,0601428,Juan De Anza Elementary,06,12110 Hindry Ave.,Hawthorne,CA,90250,06,06037,Los Angeles County,21,33.922432,-118.371631,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060142806992,0601428,Juan Cabrillo Elementary,06,5309 W. 135th St.,Hawthorne,CA,90250,06,06037,Los Angeles County,21,33.910267,-118.372223,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060142806993,0601428,Richard Henry Dana Middle,06,5504 W. 135th St.,Hawthorne,CA,90250,06,06037,Los Angeles County,21,33.90876,-118.376525,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060142807146,0601428,Peter Burnett Elementary,06,5403 W. 138th St.,Hawthorne,CA,90250,06,06037,Los Angeles County,21,33.906946,-118.375218,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060142814278,0601428,Success Learning Center,06,13530 Aviation Blvd.,Hawthorne,CA,90250,06,06037,Los Angeles County,21,33.908026,-118.378282,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060144014016,0601440,CA Advancing Pathways for Students in Los Angeles Co,06,16703 S. Clark Ave.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.882541,-118.13434,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06058,06032,2019-2020
060146112419,0601461,Magnolia Science Academy Santa Ana,06,2840 W. 1st St.,Santa Ana,CA,92703,06,06059,Orange County,11,33.74452,-117.908161,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0646,06069,06034,2019-2020
060146613973,0601466,Girls Athletic Leadership School Los Angeles,06,8015 Van Nuys Blvd.,Panorama City,CA,91402,06,06037,Los Angeles County,11,34.21658,-118.449621,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0629,06046,06018,2019-2020
060147014100,0601470,Crete Academy,06,6103 Crenshaw Blvd.,Los Angeles,CA,90043,06,06037,Los Angeles County,11,33.98476,-118.331461,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0637,06054,06030,2019-2020
060147110830,0601471,Accelerated Charter Elementary,06,3914 S. Main St.,Los Angeles,CA,90037,06,06037,Los Angeles County,11,34.01157,-118.273641,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06059,06030,2019-2020
060147610847,0601476,Camino Nuevo Charter High,06,1215 W. Miramar St.,Los Angeles,CA,90026,06,06037,Los Angeles County,11,34.058019,-118.257875,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0634,06051,06024,2019-2020
060147711630,0601477,New Heights Charter,06,2202 W. MLK Jr Blvd.,Los Angeles,CA,90008,06,06037,Los Angeles County,11,34.01052,-118.317651,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0637,06054,06030,2019-2020
060148213793,0601482,SCALE Leadership Academy,06,32248 Crown Valley Rd.,Acton,CA,93510,06,06037,Los Angeles County,42,34.472708,-118.196768,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2019-2020
060148412812,0601484,PUC Triumph Charter Academy and PUC Triumph Charter High,06,13361 Glenoaks Blvd.,Sylmar,CA,91342,06,06037,Los Angeles County,11,34.31412,-118.459871,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0629,06039,06018,2019-2020
060148600162,0601486,Palm Lane Elementary Charter,06,1646 W. Palm Ln.,Anaheim,CA,92802,06,06059,Orange County,11,33.81558,-117.938151,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0646,06065,06029,2019-2020
060148804593,0601488,Palisades Charter High,06,15777 Bowdoin St.,Pacific Palisades,CA,90272,06,06037,Los Angeles County,11,34.047871,-118.531105,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06050,06026,2019-2020
060149008724,0601490,CHIME Institute's Schwarzenegger Community,06,19722 Collier St.,Woodland Hills,CA,91364,06,06037,Los Angeles County,11,34.165223,-118.562771,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0630,06045,06027,2019-2020
060149410517,0601494,Los Angeles Leadership Academy,06,234 E. Ave. 33,Los Angeles,CA,90031,06,06037,Los Angeles County,11,34.08269,-118.210291,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0634,06051,06024,2019-2020
060149512247,0601495,Wilder's Preparatory Academy Charter Middle,06,830 N. La Brea Ave.,Inglewood,CA,90302,06,06037,Los Angeles County,21,33.97436,-118.357061,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060150513832,0601505,Da Vinci Communications,06,201 N. Douglas,El Segundo,CA,90245,06,06037,Los Angeles County,21,33.917966,-118.384252,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06062,06026,2019-2020
060150712162,0601507,ISANA Himalia Academy,06,5100 S. BRd.way Ave.,Los Angeles,CA,90037,06,06037,Los Angeles County,11,33.996211,-118.277976,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06059,06030,2019-2020
060151914018,0601519,EPIC Charter (Excellence Performance Innovation Citizenship),06,100 S. Anaheim Blvd. Ste. 150,Anaheim,CA,92805,06,06059,Orange County,11,33.83536,-117.913001,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0646,06069,06034,2019-2020
060152412447,0601524,Aspire Titan Academy,06,6720 S. Alameda St.,Huntington Park,CA,90255,06,06037,Los Angeles County,21,33.978062,-118.23423,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06059,06033,2019-2020
060152611928,0601526,Monsenor Oscar Romero Charter Middle,06,1157 S. Berendo St.,Los Angeles,CA,90006,06,06037,Los Angeles County,11,34.04999,-118.294531,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0634,06053,06024,2019-2020
060152913966,0601529,Valor Academy Elementary,06,17081 Devonshire St.,Northridge,CA,91325,06,06037,Los Angeles County,11,34.25847,-118.505731,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0630,06038,06018,2019-2020
060153013768,0601530,PUC Community Charter Elementary,06,14019 Sayre St.,Sylmar,CA,91342,06,06037,Los Angeles County,11,34.30646,-118.438651,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0629,06039,06018,2019-2020
060153211665,0601532,Bright Star Secondary Charter Academy,06,1600 W. Imperial Hwy.,Los Angeles,CA,90047,06,06037,Los Angeles County,21,33.928499,-118.306582,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060153411628,0601534,Los Angeles Academy of Arts and Enterprise,06,1200 W. Colton St.,Los Angeles,CA,90026,06,06037,Los Angeles County,11,34.060819,-118.255441,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0634,06051,06024,2019-2020
060153514009,0601535,Intellectual Virtues Academy,06,1637 Long Beach Blvd.,Long Beach,CA,90813,06,06037,Los Angeles County,11,33.78813,-118.189911,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0647,06070,06033,2019-2020
060153808721,0601538,Multicultural Learning Center,06,7510 DeSoto Ave.,Canoga Park,CA,91303,06,06037,Los Angeles County,11,34.206945,-118.587091,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0630,06045,06027,2019-2020
060153912939,0601539,Animo Phillis Wheatley Charter Middle,06,12226 S. W.ern Ave.,Los Angeles,CA,90047,06,06037,Los Angeles County,21,33.92053,-118.306791,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060154013591,0601540,Environmental Charter Middle - Inglewood,06,3600 W. Imperial Hwy.,Inglewood,CA,90303,06,06037,Los Angeles County,21,33.93042,-118.335761,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0643,06062,06035,2019-2020
060154112614,0601541,ISANA Palmati Academy,06,6501 Laurel Canyon Blvd.,North Hollywood,CA,91606,06,06037,Los Angeles County,11,34.18865,-118.397471,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0629,06039,06018,2019-2020
060154213487,0601542,Alliance Kory Hunter Middle,06,5886 Compton Ave.,Los Angeles,CA,90001,06,06037,Los Angeles County,21,33.98711,-118.247381,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06059,06033,2019-2020
060154312456,0601543,New Designs Charter School-Watts,06,12714 S. Avalon Blvd.,Los Angeles,CA,90061,06,06037,Los Angeles County,21,33.917154,-118.264685,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0644,06064,06035,2019-2020
060154412705,0601544,KIPP Comienza Community Prep,06,7300 Roseberry Ave.,Huntington Park,CA,90255,06,06037,Los Angeles County,21,33.97404,-118.232051,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06059,06033,2019-2020
060154613685,0601546,Ivy Bound Acad Math Sci and Tech Charter Mid 2,06,20040 Parthenia St.,Northridge,CA,91324,06,06037,Los Angeles County,11,34.227527,-118.569648,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0630,06045,06027,2019-2020
060154810840,0601548,New Designs Charter,06,2303 S. Figueroa Way,Los Angeles,CA,90007,06,06037,Los Angeles County,11,34.030995,-118.275174,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0637,06059,06030,2019-2020
060155011660,0601550,Los Feliz Charter School for the Arts,06,2709 E. Media Center Dr.,Los Angeles,CA,90065,06,06037,Los Angeles County,11,34.110857,-118.2455,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0628,06051,06024,2019-2020
060155313135,0601553,Aspire Centennial College Preparatory Academy,06,2079 Saturn Ave.,Huntington Park,CA,90255,06,06037,Los Angeles County,21,33.97754,-118.234155,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06059,06033,2019-2020
